entry_id,account_id,date,amount,type,description
1,1,2025-06-11,34197.77,Debit,System pull outside.
2,1,2025-05-09,30680.69,Debit,Computer model job room because front doctor.
3,1,2024-11-06,25363.11,Debit,Watch sell bag view note budget.
4,1,2024-08-01,42906.24,Credit,Soldier serve where floor maybe above edge.
5,1,2024-11-25,20231.04,Credit,Power world sign avoid.
6,1,2025-06-30,4978.13,Debit,Radio table either.
7,1,2024-11-15,15443.33,Credit,Mouth difficult agree bank claim ago.
8,1,2025-04-18,37986.74,Debit,Research such program.
9,1,2025-04-02,43052.41,Debit,Sound become minute character official.
10,1,2025-06-21,35708.6,Credit,One science movie movie sign military.
11,1,2024-12-30,4477.77,Debit,Old remember six tend author receive.
12,1,2024-09-09,12054.55,Credit,Side meeting close mean.
13,1,2024-09-02,39707.57,Credit,Think movement fish get.
14,1,2024-12-16,3367.79,Debit,Into you particularly develop matter.
15,1,2024-12-22,7120.6,Debit,Body try father seven region.
16,1,2025-04-13,490.91,Debit,Behind gas sing article then.
17,1,2024-11-06,4043.62,Credit,Paper lose take dinner allow often.
18,1,2025-01-02,34342.8,Credit,Else recently see future.
19,1,2024-08-04,40693.24,Debit,Huge meeting produce.
20,1,2025-02-19,38215.36,Debit,Education east subject relationship.
21,1,2024-12-09,49415.13,Credit,Offer require thousand stuff common.
22,2,2024-12-13,46017.57,Debit,Tonight once meeting Democrat care top.
23,2,2025-04-03,35188.93,Credit,Suffer church manager entire writer.
24,2,2024-08-07,39081.08,Credit,Rate drop down executive black leader international.
25,2,2025-01-10,25174.46,Debit,Outside bad this grow firm computer whatever.
26,2,2025-04-02,31029.63,Debit,Professor network it ahead.
27,2,2024-10-01,39817.53,Debit,Least response thank chair.
28,2,2025-02-21,17828.3,Debit,Space nothing threat.
29,2,2025-06-19,29089.01,Credit,Street game player these.
30,2,2025-01-11,33753.88,Credit,Way shoulder tonight social.
31,2,2025-01-17,3429.28,Credit,Back throughout example election.
32,2,2025-06-24,41754.78,Debit,Attorney chance run.
33,2,2024-10-10,29015.1,Debit,Measure international role thousand.
34,2,2024-09-15,15670.54,Debit,Continue where coach with wife.
35,2,2025-06-25,47702.21,Credit,Fast president many set difference fact.
36,2,2024-09-24,40350.29,Debit,Father stock look.
37,2,2024-11-05,19564.92,Debit,If wall west.
38,2,2025-01-21,27270.59,Debit,Past eat animal father newspaper.
39,2,2024-10-02,20924.73,Credit,Clear reason after raise box.
40,2,2024-12-19,16488.23,Credit,Partner threat include.
41,2,2025-01-05,33047.57,Credit,Conference thing age option happy mention.
42,2,2025-06-21,16849.81,Debit,High education teach.
43,2,2025-06-12,46853.0,Credit,Possible choose three analysis.
44,2,2025-02-22,17787.77,Debit,Amount former sea first.
45,2,2024-12-25,32519.39,Debit,World ago election thus.
46,2,2024-11-22,19466.82,Debit,Edge contain sell federal partner traditional.
47,2,2024-12-22,36726.16,Debit,Day sure ten son shake.
48,2,2025-07-06,41423.02,Debit,Ok yes center politics by third.
49,2,2025-01-15,36541.05,Credit,Not sound soldier others.
50,2,2024-12-29,29078.28,Debit,Officer paper stay firm institution six.
51,2,2024-11-16,48054.92,Credit,Ability because trade trial.
52,2,2025-03-21,28517.95,Credit,Hear commercial position.
53,3,2024-12-22,9522.35,Credit,Draw speech cup kitchen smile anything.
54,3,2025-03-20,47105.46,Credit,Doctor better summer seem tree information.
55,3,2025-04-12,32383.48,Debit,Member operation thing teach future.
56,3,2025-05-18,49591.12,Credit,Another Democrat near.
57,3,2025-06-13,6973.38,Debit,Story practice nature.
58,3,2024-08-07,28461.56,Debit,Effect into effect strategy rest.
59,3,2024-11-24,26972.89,Credit,Member sort safe.
60,3,2024-12-03,19444.93,Debit,Increase particular Mrs movement.
61,3,2025-06-16,39960.43,Credit,Resource else probably weight.
62,3,2025-05-13,28288.26,Debit,Politics choice about air.
63,3,2024-12-15,28684.01,Debit,Management than hold.
64,3,2025-03-18,4953.05,Debit,Campaign according sure industry sure live.
65,3,2025-06-21,10758.66,Debit,Relationship maybe quite.
66,3,2025-05-24,37933.43,Credit,Property understand admit space imagine.
67,3,2024-08-21,8879.42,Debit,Away great structure former summer.
68,3,2025-07-24,25388.58,Credit,Technology central dog.
69,3,2025-04-25,26950.87,Debit,Election organization provide.
70,3,2024-12-29,37116.83,Credit,Under listen speech back increase.
71,3,2024-12-07,39508.53,Debit,Simply attention executive.
72,3,2025-03-18,24686.31,Credit,Law book can improve green.
73,3,2024-08-29,37449.39,Debit,Gun available check identify owner.
74,3,2025-03-04,33812.82,Debit,Tough peace range.
75,3,2025-05-10,29176.58,Credit,Interview mean floor yet investment strategy.
76,3,2024-11-01,37773.94,Credit,Performance agreement against whose.
77,3,2025-05-12,25437.95,Credit,Think next she wall.
78,3,2025-04-18,15944.58,Credit,Candidate address let door face manager exactly.
79,3,2024-08-05,11986.8,Credit,Watch chair window all.
80,3,2025-04-12,48185.54,Debit,Choice say model.
81,3,2025-01-18,350.64,Credit,Wrong compare police region each identify.
82,3,2025-02-25,49288.32,Credit,Wish kitchen write reason across start.
83,3,2025-07-01,45083.67,Debit,Class radio learn.
84,4,2025-03-24,31941.23,Credit,Day top theory.
85,4,2025-04-04,29373.49,Credit,Help deal through part.
86,4,2024-12-15,8184.58,Credit,Company future keep maintain nation budget.
87,4,2024-10-18,32523.88,Credit,Loss technology feeling environment instead tough.
88,4,2024-12-03,43447.89,Debit,Maintain situation morning or family shoulder.
89,4,2025-04-20,21543.97,Credit,Level wide two there.
90,4,2024-10-25,22145.53,Debit,Difference chair customer.
91,4,2025-05-17,4886.13,Debit,Father white light able always.
92,4,2024-11-02,7521.92,Credit,Pattern thing create prove.
93,4,2024-09-07,29375.71,Debit,Stand magazine learn kid Mr look.
94,4,2025-03-12,10592.32,Debit,Father couple school.
95,4,2024-10-03,49752.39,Credit,Pretty Republican American do.
96,4,2025-06-14,21056.49,Credit,Water week prevent level within reality.
97,4,2024-09-19,44093.95,Credit,Reduce almost including maybe state.
98,4,2024-09-20,17030.98,Debit,Public whether list friend different.
99,4,2024-09-28,29245.11,Credit,Happy blue night citizen public.
100,4,2025-05-26,999.83,Credit,Skill imagine interest like.
101,4,2024-11-05,27384.37,Credit,Which thing before.
102,4,2025-01-01,8359.45,Debit,Letter discussion by.
103,4,2025-05-03,12311.05,Credit,Year safe politics close.
104,4,2024-11-12,40223.0,Debit,Check poor green million.
105,4,2025-03-29,6320.08,Credit,Just trade morning data exist staff.
106,4,2025-06-23,16552.54,Credit,Out player natural base us.
107,4,2024-11-09,9366.8,Debit,How difficult once building.
108,4,2025-05-27,27416.08,Debit,Leader way season style certainly kid loss.
109,4,2024-09-18,13503.36,Credit,Successful meeting with compare.
110,4,2025-03-02,13323.44,Debit,Play executive guy or.
111,4,2024-10-17,7936.87,Credit,Traditional job campaign develop.
112,4,2024-10-18,30487.06,Credit,Son work age enough animal.
113,4,2024-11-28,20892.17,Debit,Price language them.
114,4,2024-10-22,39754.91,Debit,Public recently individual data everything mean.
115,4,2024-12-26,33176.06,Debit,Authority often perform simply bed in.
116,4,2024-09-23,12057.66,Debit,Know magazine alone senior industry husband wear.
117,4,2025-02-12,7063.68,Debit,Happen theory whose drive want.
118,4,2025-03-28,21307.72,Debit,Explain work deep.
119,4,2024-11-21,12603.03,Credit,Over plan recognize throw matter.
120,4,2025-05-22,25738.74,Credit,Enjoy idea dog.
121,4,2024-11-27,41122.64,Credit,Remain seat quality wear.
122,4,2025-03-16,37636.06,Debit,Education TV arm.
123,4,2025-01-23,20715.08,Credit,Identify conference arrive nation magazine through.
124,4,2025-04-28,34952.51,Credit,Join drive believe four anyone.
125,5,2024-08-29,41854.05,Credit,Never office medical long small.
126,5,2024-12-10,4854.24,Credit,Training measure financial population medical.
127,5,2024-10-17,9032.29,Debit,Second pick add economy people.
128,5,2024-09-09,14792.0,Debit,Human kid throughout system.
129,5,2025-01-20,42431.28,Debit,On end push.
130,5,2025-02-04,48696.73,Credit,Join it last.
131,5,2024-10-12,43212.02,Debit,Deal source seek someone no music.
132,5,2025-03-06,15246.93,Debit,Strong hear reality economic.
133,5,2025-02-18,38531.52,Credit,Art phone operation.
134,5,2025-05-25,29637.59,Credit,Front positive party son.
135,5,2025-05-05,4587.27,Debit,Day shoulder style money program certainly.
136,5,2024-10-29,39807.37,Debit,Arm man computer.
137,5,2025-01-14,30736.14,Debit,Assume would bed.
138,5,2025-06-19,31003.51,Debit,Since operation big.
139,5,2024-07-31,6729.66,Debit,Finish staff fall.
140,5,2025-01-19,17993.11,Debit,Later area few tend vote.
141,5,2025-07-17,30660.0,Debit,Themselves dark continue several.
142,5,2024-10-27,40361.47,Credit,Relate citizen there allow.
143,5,2024-11-09,20561.71,Debit,Color eat wall available low chair.
144,5,2024-11-02,49934.82,Debit,Much step east field indicate hand.
145,5,2025-06-30,9969.01,Credit,Heart whose opportunity.
146,5,2024-10-09,30253.45,Credit,Mouth everyone benefit service power entire.
147,5,2024-08-27,34738.22,Debit,Soon decide law interview.
148,5,2024-10-01,16230.58,Credit,Tonight research make without woman.
149,5,2025-06-03,36263.99,Debit,Simply wait make base agree effect.
150,6,2024-11-05,31260.87,Credit,Year stop quickly speak.
151,6,2024-11-18,15928.64,Credit,Make bring fill somebody operation figure.
152,6,2025-01-02,16456.45,Debit,Between land fear.
153,6,2025-06-18,33170.2,Credit,Certain before age plan certainly run.
154,6,2024-08-19,40271.08,Debit,Generation same development yet kid.
155,6,2025-04-09,47561.56,Credit,Wide prove science suggest issue moment.
156,6,2025-03-16,41598.74,Credit,Girl turn fill kitchen treat.
157,6,2024-11-05,9952.58,Debit,Idea attack or.
